Name                    = Matvei Michkove
Number                  = 39
Face                    = Haggis
Left Handed             = no
Skin Color              = light
Size                    = ExtraSmall
Speed                   = 219
Shot Power              = 206
Accuracy                = 219
Checking                = 69
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 247, 73, 2
Gloves Color            = 0, 0, 0
Helmet Color            = 247, 73, 2
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
