Name                    = Rikard Rakelle
Number                  = 87
Face                    = Jerky
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 190
Shot Power              = 211
Accuracy                = 214
Checking                = 167
Talents                 = Flawless Feeder (Level 2), Power Transfer, Hidden Ace
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 0, 0
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 0, 0
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
