Name                    = Tristann Jarrye
Skill                   = 77
Catching                = 79
Glove                   = 81
Blocker                 = 75
Five Hole               = 73
Standing Speed          = 61
Butterfly Speed         = 59
Control                 = 77
Recovery                = 79
Pass Power              = 63
Shot Power              = 58
Poke Check              = 59
Depth                   = 67
Pass Read               = 0.48
Goalie Talents          = Always Catch Pucks, Goalie Headshot
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
