Name                    = Kriss Letangg
Number                  = 65
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 191
Shot Power              = 187
Accuracy                = 194
Checking                = 152
Talents                 = Blue Line Boost (Level 2), Slapshot Slowmo, Charge Shot, cultistPowerLD
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 0, 0
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 0, 0
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
