Name                    = Sidny Crosbey
Number                  = 71
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 156
Shot Power              = 207
Accuracy                = 204
Checking                = 171
Talents                 = Enraged
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 0, 0
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 0, 0
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
