Name                    = Markus Pettersone
Number                  = 58
Face                    = Wiener
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 177
Shot Power              = 181
Accuracy                = 181
Checking                = 167
Talents                 = Spring Board
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 0, 0
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 0, 0
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
