Name                    = Evgenii Malkinn
Number                  = 67
Face                    = Wiener
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 181
Shot Power              = 187
Accuracy                = 187
Checking                = 167
Talents                 = Speed Transfer
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 0, 0
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 0, 0
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
