Name                    = Pavell Zachha
Number                  = 28
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 185
Shot Power              = 179
Accuracy                = 191
Checking                = 163
Talents                 = Blue Line Boost (Level 2)
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 252, 181, 20
Gloves Color            = 0, 0, 0
Helmet Color            = 252, 181, 20
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
