Name                    = Jeremi Swaymane
Skill                   = 71
Catching                = 78
Glove                   = 81
Blocker                 = 68
Five Hole               = 65
Standing Speed          = 81
Butterfly Speed         = 78
Control                 = 74
Recovery                = 78
Pass Power              = 65
Shot Power              = 59
Poke Check              = 62
Depth                   = 71
Pass Read               = 0.44
Goalie Talents          = Goalie Enrage First30Sec
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
