Name                    = Charley McAvoye
Number                  = 27
Face                    = Mathieu
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 186
Shot Power              = 185
Accuracy                = 179
Checking                = 179
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 252, 181, 20
Gloves Color            = 0, 0, 0
Helmet Color            = 252, 181, 20
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
