Name                    = Davyd Pastrnakk
Number                  = 39
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 177
Shot Power              = 202
Accuracy                = 197
Checking                = 182
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 252, 181, 20
Gloves Color            = 0, 0, 0
Helmet Color            = 252, 181, 20
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
