Name                    = Hampuss Lindholme
Number                  = 73
Face                    = Haggis
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 191
Shot Power              = 197
Accuracy                = 191
Checking                = 202
Talents                 = Enraged
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 252, 181, 20
Gloves Color            = 0, 0, 0
Helmet Color            = 252, 181, 20
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
