Name                    = Joell Erikssonn
Number                  = 14
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 197
Shot Power              = 206
Accuracy                = 201
Checking                = 192
Talents                 = Enraged
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 2, 73, 48
Gloves Color            = 175, 35, 36
Helmet Color            = 2, 73, 48
Pants Color             = 175, 35, 36
Skates Color            = 175, 35, 36
