Name                    = Jarred Spurgeone
Number                  = 43
Face                    = Mathieu
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 244
Shot Power              = 201
Accuracy                = 215
Checking                = 117
Talents                 = Board Bumper, Blue Line Boost (Level 2)
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 2, 73, 48
Gloves Color            = 175, 35, 36
Helmet Color            = 2, 73, 48
Pants Color             = 175, 35, 36
Skates Color            = 175, 35, 36
