Name                    = Kirilll Kaprizove
Number                  = 97
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 238
Shot Power              = 229
Accuracy                = 233
Checking                = 126
Talents                 = Trick Shot (Level 2), Puck Rocket, tornadoAI
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 2, 73, 48
Gloves Color            = 175, 35, 36
Helmet Color            = 2, 73, 48
Pants Color             = 175, 35, 36
Skates Color            = 175, 35, 36
