Name                    = Brokk Faberr
Number                  = 7
Face                    = Haggis
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 210
Shot Power              = 201
Accuracy                = 201
Checking                = 183
Talents                 = Human Shield, Defensive Deflect
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 2, 73, 48
Gloves Color            = 175, 35, 36
Helmet Color            = 2, 73, 48
Pants Color             = 175, 35, 36
Skates Color            = 175, 35, 36
