Name                    = Mattheu Boldey
Number                  = 36
Face                    = Wiener
Left Handed             = no
Skin Color              = light
Size                    = ExtraSmall
Speed                   = 210
Shot Power              = 197
Accuracy                = 220
Checking                = 84
Talents                 = Express Delivery, Sonic Pass
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 2, 73, 48
Gloves Color            = 175, 35, 36
Helmet Color            = 2, 73, 48
Pants Color             = 175, 35, 36
Skates Color            = 175, 35, 36
