Name                    = Samuell Montembaulte
Skill                   = 75
Catching                = 81
Glove                   = 84
Blocker                 = 71
Five Hole               = 68
Standing Speed          = 84
Butterfly Speed         = 81
Control                 = 78
Recovery                = 81
Pass Power              = 68
Shot Power              = 62
Poke Check              = 65
Depth                   = 75
Pass Read               = 0.33
Goalie Talents          = Goalie Speed Talent
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
