Name                    = Kole Caufieldd
Number                  = 20
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 209
Shot Power              = 223
Accuracy                = 211
Checking                = 193
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 175, 30, 45
Gloves Color            = 25, 33, 104
Helmet Color            = 175, 30, 45
Pants Color             = 25, 33, 104
Skates Color            = 25, 33, 104
