Name                    = Kaiden Guhlee
Number                  = 45
Face                    = Haggis
Left Handed             = no
Skin Color              = light
Size                    = ExtraBig
Speed                   = 216
Shot Power              = 211
Accuracy                = 211
Checking                = 182
Talents                 = Onepunch, Human Shield
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 175, 30, 45
Gloves Color            = 25, 33, 104
Helmet Color            = 175, 30, 45
Pants Color             = 25, 33, 104
Skates Color            = 25, 33, 104
