Name                    = Nikk Suzukii
Number                  = 22
Face                    = cage
Left Handed             = no
Skin Color              = light
Size                    = ExtraSmall
Speed                   = 254
Shot Power              = 228
Accuracy                = 241
Checking                = 69
Talents                 = Sonic Slap (Level 2), Crit Boost, Point Sniper (Level 2), Pressure Coooker (Level 2), Sword (Level 2)
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 175, 30, 45
Gloves Color            = 25, 33, 104
Helmet Color            = 175, 30, 45
Pants Color             = 25, 33, 104
Skates Color            = 25, 33, 104
