Name                    = Brandyn Hagell
Number                  = 21
Face                    = Bench_Bench
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 243
Shot Power              = 230
Accuracy                = 235
Checking                = 131
Talents                 = Crit Boost
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 40, 104
Gloves Color            = 255, 255, 255
Helmet Color            = 0, 40, 104
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
