Name                    = Andrej Vasilevskiiy
Skill                   = 82
Catching                = 84
Glove                   = 87
Blocker                 = 80
Five Hole               = 77
Standing Speed          = 74
Butterfly Speed         = 72
Control                 = 82
Recovery                = 84
Pass Power              = 71
Shot Power              = 64
Poke Check              = 66
Depth                   = 75
Pass Read               = 0.43
Goalie Talents          = Always Catch Pucks, Goalie Pass Propel
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
