Name                    = Vikter Hedmann
Number                  = 77
Face                    = Spark
Left Handed             = yes
Skin Color              = light
Size                    = ExtraExtraBig
Speed                   = 173
Shot Power              = 230
Accuracy                = 224
Checking                = 212
Talents                 = Armor, knightAI
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 40, 104
Gloves Color            = 255, 255, 255
Helmet Color            = 0, 40, 104
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
