Name                    = Nikolas Kucherev
Number                  = 86
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 235
Shot Power              = 243
Accuracy                = 261
Checking                = 119
Talents                 = Trick Shot (Level 2), XRay Shot (Level 2), Flawless Feeder
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 40, 104
Gloves Color            = 255, 255, 255
Helmet Color            = 0, 40, 104
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
