Name                    = Ryann MacDonagh
Number                  = 81
Face                    = Spark
Left Handed             = no
Skin Color              = light
Size                    = ExtraBig
Speed                   = 171
Shot Power              = 193
Accuracy                = 186
Checking                = 224
Talents                 = Spiked Armor, cultistPowerRD
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 40, 104
Gloves Color            = 255, 255, 255
Helmet Color            = 0, 40, 104
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
