Name                    = Braydon Pointe
Number                  = 38
Face                    = Haggis
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 250
Shot Power              = 204
Accuracy                = 204
Checking                = 165
Talents                 = Speed Transfer
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 40, 104
Gloves Color            = 255, 255, 255
Helmet Color            = 0, 40, 104
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
