Name                    = Dylann Cozense
Number                  = 72
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 198
Shot Power              = 257
Accuracy                = 251
Checking                = 185
Talents                 = Bouncy McBounce, Fast Rebound
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 38, 84
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 38, 84
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
