Name                    = Ukko-Pekka Luukkonene
Skill                   = 78
Catching                = 83
Glove                   = 88
Blocker                 = 78
Five Hole               = 74
Standing Speed          = 114
Butterfly Speed         = 104
Control                 = 76
Recovery                = 78
Pass Power              = 64
Shot Power              = 54
Poke Check              = 45
Depth                   = 74
Pass Read               = 0.30
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
