Name                    = Rasmuss Dahlinn
Number                  = 25
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 205
Shot Power              = 218
Accuracy                = 211
Checking                = 192
Talents                 = Heavy Helmet
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 38, 84
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 38, 84
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
