Name                    = Tagge Thompsone
Number                  = 19
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 231
Shot Power              = 198
Accuracy                = 211
Checking                = 134
Talents                 = Enraged
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 38, 84
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 38, 84
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
