Name                    = Owenn Powerr
Number                  = 26
Face                    = cage
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 244
Shot Power              = 231
Accuracy                = 237
Checking                = 178
Talents                 = Board Bumper, Armor, Chexplosion
Ability                 = Grappling Hook Mountaineer
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 38, 84
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 38, 84
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
