Name                    = Jaake Oettingerr
Skill                   = 87
Catching                = 90
Glove                   = 92
Blocker                 = 85
Five Hole               = 85
Standing Speed          = 73
Butterfly Speed         = 70
Control                 = 87
Recovery                = 90
Pass Power              = 70
Shot Power              = 63
Poke Check              = 68
Depth                   = 78
Pass Read               = 0.36
Goalie Talents          = Goalie Enrage Last30Sec, Always Catch Pucks, Goalie Speed Talent
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
