Name                    = Mirro Heiskanenn
Number                  = 4
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 240
Shot Power              = 217
Accuracy                = 226
Checking                = 184
Talents                 = Puckless Rocket
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 104, 71
Gloves Color            = 17, 17, 17
Helmet Color            = 0, 104, 71
Pants Color             = 17, 17, 17
Skates Color            = 17, 17, 17
