Name                    = Jasonne Robertsone
Number                  = 21
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 214
Shot Power              = 242
Accuracy                = 237
Checking                = 200
Talents                 = Wild Shot, Bouncy McBounce
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 104, 71
Gloves Color            = 17, 17, 17
Helmet Color            = 0, 104, 71
Pants Color             = 17, 17, 17
Skates Color            = 17, 17, 17
