Name                    = Thomass Harleyy
Number                  = 55
Face                    = Bench_Bench
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 207
Shot Power              = 212
Accuracy                = 212
Checking                = 207
Talents                 = Defensive Deflect
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 104, 71
Gloves Color            = 17, 17, 17
Helmet Color            = 0, 104, 71
Pants Color             = 17, 17, 17
Skates Color            = 17, 17, 17
