Name                    = Roope Hintze
Number                  = 91
Face                    = Wiener
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 226
Shot Power              = 226
Accuracy                = 230
Checking                = 180
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 104, 71
Gloves Color            = 17, 17, 17
Helmet Color            = 0, 104, 71
Pants Color             = 17, 17, 17
Skates Color            = 17, 17, 17
