Name                    = Frederic Andersenn
Skill                   = 91
Catching                = 93
Glove                   = 95
Blocker                 = 89
Five Hole               = 87
Standing Speed          = 69
Butterfly Speed         = 68
Control                 = 91
Recovery                = 93
Pass Power              = 74
Shot Power              = 68
Poke Check              = 69
Depth                   = 78
Pass Read               = 0.53
Goalie Talents          = Goalie Enraged On Goal, Goalie Headshot
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
