Name                    = Brendt Burnss
Number                  = 79
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 203
Shot Power              = 224
Accuracy                = 220
Checking                = 238
Talents                 = Onepunch, knightAI, Heavy Helmet, Porcelain Hammer, Built Different, Point Sniper (Level 2), Puck Rocket
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 206, 17, 38
Gloves Color            = 0, 0, 0
Helmet Color            = 206, 17, 38
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
