Name                    = Sebastien Ahoe
Number                  = 20
Face                    = Bench_Kirby
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 250
Shot Power              = 232
Accuracy                = 238
Checking                = 169
Talents                 = Mega Deflect (Level 2), Redirector, Blue Line Boost (Level 2), Puck Rocket
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 206, 17, 38
Gloves Color            = 0, 0, 0
Helmet Color            = 206, 17, 38
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
