Name                    = Jakkob Slavine
Number                  = 74
Face                    = Lancelov
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 220
Shot Power              = 217
Accuracy                = 213
Checking                = 227
Talents                 = Sonic Pass, Blue Line Boost
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 206, 17, 38
Gloves Color            = 0, 0, 0
Helmet Color            = 206, 17, 38
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
