Name                    = Andrej Svechnikove
Number                  = 24
Face                    = cage
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 238
Shot Power              = 235
Accuracy                = 243
Checking                = 176
Talents                 = Charge Shot, X-Ray Shot, Puckless Rocket
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 206, 17, 38
Gloves Color            = 0, 0, 0
Helmet Color            = 206, 17, 38
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
