Name                    = Nathaniel MacKinley
Number                  = 29
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 265
Shot Power              = 256
Accuracy                = 261
Checking                = 240
Talents                 = Built Different, Hidden Ace, Flawless Feeder (Level 2), Power Transfer, XRay Shot (Level 2), Charge Shot (Level 2), Bouncy McBounce, Rebound Magnet (Level 2), Fast Rebound, Anchor
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 111, 38, 61
Gloves Color            = 35, 97, 146
Helmet Color            = 111, 38, 61
Pants Color             = 35, 97, 146
Skates Color            = 35, 97, 146
