Name                    = MacKenzi Blackwoode
Skill                   = 100
Catching                = 102
Glove                   = 103
Blocker                 = 99
Five Hole               = 97
Standing Speed          = 63
Butterfly Speed         = 61
Control                 = 100
Recovery                = 102
Pass Power              = 67
Shot Power              = 58
Poke Check              = 60
Depth                   = 67
Pass Read               = 0.71
Goalie Talents          = Always Catch Pucks, Crease Clearer, Goalie Headshot, Goalie Throw Stick, Goalie Enraged On Shot, Goalie Pass Propel, Goalie Speed Talent, Goalie Dance
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
