Name                    = Devynn Toewss
Number                  = 7
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 219
Shot Power              = 217
Accuracy                = 217
Checking                = 215
Talents                 = Built Different, Human Shield, Velcro, Defensive Deflect (Level 2), knightAI, Sonic Interception, En Garde!, Triple Twig, Fury Stick (Level 2), Porcelain Hammer, Onepunch
Ability                 = throwingStick
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 111, 38, 61
Gloves Color            = 35, 97, 146
Helmet Color            = 111, 38, 61
Pants Color             = 35, 97, 146
Skates Color            = 35, 97, 146
