Name                    = Gabriell Landeskoge
Number                  = 92
Face                    = Bench_Bench
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 215
Shot Power              = 225
Accuracy                = 221
Checking                = 225
Talents                 = Built Different, Onepunch, Chexplosion, marauder, Homewrecker, Enraged, Avenge Me! (Level 2), Spiked Armor
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 111, 38, 61
Gloves Color            = 35, 97, 146
Helmet Color            = 111, 38, 61
Pants Color             = 35, 97, 146
Skates Color            = 35, 97, 146
