Name                    = Kale Makarro
Number                  = 8
Face                    = Bench_Bench
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 245
Shot Power              = 241
Accuracy                = 243
Checking                = 223
Talents                 = Blue Line Boost (Level 2), Point Sniper (Level 2), Slapshot Slowmo, Sonic Slap (Level 2), Board Bumper, Puckless Rocket, princeAI, Sword (Level 2), Triple Twig, Fury Stick (Level 2), Porcelain Hammer, Explosion On Landing
Ability                 = throwingStick
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 111, 38, 61
Gloves Color            = 35, 97, 146
Helmet Color            = 111, 38, 61
Pants Color             = 35, 97, 146
Skates Color            = 35, 97, 146
