Name                    = Martinn Necasse
Number                  = 88
Face                    = Bench_Bench
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 225
Shot Power              = 223
Accuracy                = 227
Checking                = 200
Talents                 = Trick Shot (Level 2), Curve Ball (Level 2), Crit Boost, Escalating Crit, Puck Rocket, tornadoAI, Cherry Picker
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 111, 38, 61
Gloves Color            = 35, 97, 146
Helmet Color            = 111, 38, 61
Pants Color             = 35, 97, 146
Skates Color            = 35, 97, 146
